book_title,author,goodreads_id,goodreads_url,found,search_query,avg_rating,rating_count,review_count,want_to_read,dist_5_star,dist_4_star,dist_3_star,dist_2_star,dist_1_star
Homegoing,"Gyasi, Yaa",30896134.0,https://www.goodreads.com/book/show/30896134-summary-of-homegoing?from_search=true&from_srp=true&qid=aIrV075IU3&rank=1,True,"Homegoing Gyasi, Yaa",4.19,78,,,37 (47%),25 (32%),12 (15%),2 (2%),2 (2%)
House of Earth and Blood,"Maas, Sarah J.",44778083.0,https://www.goodreads.com/book/show/44778083-house-of-earth-and-blood?from_search=true&from_srp=true&qid=ZS1fyJnnv6&rank=1,True,"House of Earth and Blood Maas, Sarah J.",4.45,1137727,,,"676,531 (59%)","334,865 (29%)","96,962 (8%)","19,861 (1%)","9,508 (<1%)"
House of Sky and Breath,"Maas, Sarah J.",40132775.0,https://www.goodreads.com/book/show/40132775-house-of-sky-and-breath?from_search=true&from_srp=true&qid=IClvBNXLFp&rank=1,True,"House of Sky and Breath Maas, Sarah J.",4.42,820417,,,"465,273 (56%)","256,725 (31%)","80,534 (9%)","14,287 (1%)","3,598 (<1%)"
I Am Jazz,"Jennings, Jazz",18763344.0,https://www.goodreads.com/book/show/18763344-i-am-jazz?from_search=true&from_srp=true&qid=2DdFwyFawq&rank=1,True,"I Am Jazz Jennings, Jazz",4.12,3390,,,"1,450 (42%)","1,182 (34%)",574 (16%),91 (2%),93 (2%)
It Ends With Us,"Hoover, Colleen",59112062.0,https://www.goodreads.com/book/show/59112062-summary-of-it-ends-with-us-by-colleen-hoover?from_search=true&from_srp=true&qid=XtMAXkfi55&rank=1,True,"It Ends With Us Hoover, Colleen",4.04,23,,,11 (47%),6 (26%),4 (17%),0 (0%),2 (8%)
Last Night at the Telegraph Club,"Lo, Malinda",81071294.0,https://www.goodreads.com/book/show/81071294-study-guide?from_search=true&from_srp=true&qid=jHggJJUTF5&rank=1,True,"Last Night at the Telegraph Club Lo, Malinda",3.25,4,,,1 (25%),0 (0%),2 (50%),1 (25%),0 (0%)
Living Dead Girl,"Scott, Elizabeth",2954411.0,https://www.goodreads.com/book/show/2954411-living-dead-girl?from_search=true&from_srp=true&qid=246IbahyBm&rank=1,True,"Living Dead Girl Scott, Elizabeth",3.77,34115,,,"10,187 (29%)","11,360 (33%)","8,511 (24%)","2,819 (8%)","1,238 (3%)"
Lullaby,"Palahniuk, Chuck",12882265.0,https://www.goodreads.com/book/show/12882265-lullaby-by-chuck-palahniuk-l-summary-study-guide?from_search=true&from_srp=true&qid=DCoAFwJPZb&rank=1,True,"Lullaby Palahniuk, Chuck",3.80,56,,,17 (30%),17 (30%),16 (28%),6 (10%),0 (0%)
Man o' War,"McCarthy, Cory",59029659.0,https://www.goodreads.com/book/show/59029659-man-o-war?from_search=true&from_srp=true&qid=fDgeXexCD0&rank=1,True,"Man o' War McCarthy, Cory",4.36,1312,,,721 (54%),390 (29%),162 (12%),29 (2%),10 (<1%)
Margo Zimmerman Gets the Girl,"Shrum, Brianna",62584266.0,https://www.goodreads.com/book/show/62584266-margo-zimmerman-gets-the-girl?from_search=true&from_srp=true&qid=j2JCE8otWu&rank=1,True,"Margo Zimmerman Gets the Girl Shrum, Brianna",4.00,2649,,,855 (32%),"1,133 (42%)",495 (18%),133 (5%),33 (1%)
