book_title,challenge_reasons,num_reasons,primary_reason
When Spring Comes to the DMZ,,0,Uncategorized
Gravity,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Religion & worldview,3,Age-appropriateness concerns
Children of Blood and Bone (Legacy of Orïsha Series),Age-appropriateness concerns; Religion & worldview; Sexual or romantic content; Violence & mature themes,4,Age-appropriateness concerns
The Night Diary,Age-appropriateness concerns; Violence & mature themes,2,Age-appropriateness concerns
M or F?,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Sexual or romantic content,3,Age-appropriateness concerns
Make Way for Dyamonde Daniel (Dyamonde Daniel Series),Age-appropriateness concerns,1,Age-appropriateness concerns
The Life of Rosa Parks (Famous Lives Series),Race & systemic inequality,1,Race & systemic inequality
Dumpling Soup,Age-appropriateness concerns,1,Age-appropriateness concerns
Playing a Part,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Mental health & trauma,3,Age-appropriateness concerns
And Still the Turtle Watched,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
This Place Is Not My Home,Age-appropriateness concerns,1,Age-appropriateness concerns
Lost Boys,Age-appropriateness concerns; Violence & mature themes,2,Age-appropriateness concerns
The Gold-Threaded Dress,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
The Hero Two Doors Down: Based on the True Story of Friendship between a Boy and a Baseball Legend,Age-appropriateness concerns,1,Age-appropriateness concerns
A Dog Named Haku: A Holiday Story from Nepal,Age-appropriateness concerns,1,Age-appropriateness concerns
Were I Not a Girl: The Inspiring and True Story of Dr. James Barry,Age-appropriateness concerns; Gender politics & feminism; LGBTQ+ identity & sexuality,3,Age-appropriateness concerns
Between Us and Abuela: A Family Story from the Border,Age-appropriateness concerns,1,Age-appropriateness concerns
Game Changer,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Salvage the Bones (Bois Sauvage Series),Race & systemic inequality,1,Race & systemic inequality
Night,Race & systemic inequality,1,Race & systemic inequality
The First Strawberries,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Thunder Boy Jr.,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Going Down Home with Daddy,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Climbing Lincoln's Steps: The African American Journey,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
My Two Moms and Me,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Sexual or romantic content,3,Age-appropriateness concerns
"Gaby, Lost and Found",Age-appropriateness concerns,1,Age-appropriateness concerns
Neither,Age-appropriateness concerns; Gender politics & feminism; LGBTQ+ identity & sexuality,3,Age-appropriateness concerns
Yoko (Yoko Series),Age-appropriateness concerns,1,Age-appropriateness concerns
Nadia's Hands,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Totem Tale,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
When Angels Sing: The Story of Rock Legend Carlos Santana,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Under the Lights (The Field Party Series),Age-appropriateness concerns; Sexual or romantic content,2,Age-appropriateness concerns
Starry River of the Sky,Age-appropriateness concerns,1,Age-appropriateness concerns
Winter Candle,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Other Words for Home,Age-appropriateness concerns,1,Age-appropriateness concerns
