book_title,author,goodreads_id,goodreads_url,found,search_query
"Heartstopper, Vol. 3","Oseman, Alice",200033939.0,https://www.goodreads.com/book/show/200033939-heartstopper-vol-3---collector-s-edition?from_search=true&from_srp=true&qid=nCql3g2gII&rank=1,True,"Heartstopper, Vol. 3 Oseman, Alice"
"Heartstopper, Vol. 4","Oseman, Alice",200626696.0,https://www.goodreads.com/book/show/200626696-heartstopper-vol-4---collector-s-edition?from_search=true&from_srp=true&qid=gTT4Yx5qww&rank=1,True,"Heartstopper, Vol. 4 Oseman, Alice"
"Heartstopper, Vol. 5","Oseman, Alice",125704697.0,https://www.goodreads.com/book/show/125704697-heartstopper-vol-5?from_search=true&from_srp=true&qid=yD5EzuufJy&rank=1,True,"Heartstopper, Vol. 5 Oseman, Alice"
I Am Not Your Perfect Mexican Daughter,"Sánchez, Erika L.",29010395.0,https://www.goodreads.com/book/show/29010395-i-am-not-your-perfect-mexican-daughter?from_search=true&from_srp=true&qid=AFYChuP0FU&rank=1,True,"I Am Not Your Perfect Mexican Daughter Sánchez, Erika L."
Last Night at the Telegraph Club,"Lo, Malinda",245913246,https://www.goodreads.com/book/show/245913246-last-night-at-the-telegraph-club?from_search=true&from_srp=true&qid=8WaZnvjn2N&rank=2,True,"Last Night at the Telegraph Club Lo, Malinda"
Out of Darkness,"Pérez, Ashley Hope",25256386.0,https://www.goodreads.com/book/show/25256386-out-of-darkness?from_search=true&from_srp=true&qid=pStKekrkCf&rank=1,True,"Out of Darkness Pérez, Ashley Hope"
People Kill People,"Hopkins, Ellen",38355061.0,https://www.goodreads.com/book/show/38355061-people-kill-people?from_search=true&from_srp=true&qid=wBr7W0sMCr&rank=1,True,"People Kill People Hopkins, Ellen"
The Brief Wondrous Life of Oscar Wao,"Díaz, Junot",208563684,https://www.goodreads.com/book/show/208563684-the-brief-wondrous-life-of-oscar-wao?from_search=true&from_srp=true&qid=km4NcKqVsC&rank=3,True,"The Brief Wondrous Life of Oscar Wao Díaz, Junot"
The Handmaid's Tale,"Atwood, Margaret",38448.0,https://www.goodreads.com/book/show/38448.The_Handmaid_s_Tale_By_Margaret_Atwood?from_search=true&from_srp=true&qid=N0uaQrfTdf&rank=1,True,"The Handmaid's Tale Atwood, Margaret"
The Haters,"Andrews, Jesse",26095121.0,https://www.goodreads.com/book/show/26095121-the-haters?from_search=true&from_srp=true&qid=OhzvPklssi&rank=1,True,"The Haters Andrews, Jesse"
The Poet X,"Acevedo, Elizabeth",234710408,https://www.goodreads.com/book/show/234710408-novel-unit?from_search=true&from_srp=true&qid=t7xmOSoYOw&rank=2,True,"The Poet X Acevedo, Elizabeth"
Wander in the Dark,"Emill, Jumata",156740461.0,https://www.goodreads.com/book/show/156740461-wander-in-the-dark?from_search=true&from_srp=true&qid=2t9RpQm9eB&rank=1,True,"Wander in the Dark Emill, Jumata"
A Clash of Kings,"Martin, George R. R.",10572.0,https://www.goodreads.com/book/show/10572.A_Clash_of_Kings?from_search=true&from_srp=true&qid=IqnyajZShh&rank=1,True,"A Clash of Kings Martin, George R. R."
A Court of Frost and Starlight,"Maas, Sarah J.",50659471.0,https://www.goodreads.com/book/show/50659471-a-court-of-frost-and-starlight?from_search=true&from_srp=true&qid=sArqYyJpGN&rank=1,True,"A Court of Frost and Starlight Maas, Sarah J."
A ​Court of Silver Flames,"Maas, Sarah J.",53138095.0,https://www.goodreads.com/book/show/53138095-a-court-of-silver-flames?from_search=true&from_srp=true&qid=g4r2aZsp0Z&rank=1,True,"A ​Court of Silver Flames Maas, Sarah J."
A Court of Wings and Ruin,"Maas, Sarah J.",50659472.0,https://www.goodreads.com/book/show/50659472-a-court-of-wings-and-ruin?from_search=true&from_srp=true&qid=e0J47aRfsp&rank=1,True,"A Court of Wings and Ruin Maas, Sarah J."
A Sin Such As This,"Hopkins, Ellen",27276424.0,https://www.goodreads.com/book/show/27276424-a-sin-such-as-this?from_search=true&from_srp=true&qid=rNVe5AMfL9&rank=1,True,"A Sin Such As This Hopkins, Ellen"
A Stolen Life,"Dugard, Jaycee",246034875,https://www.goodreads.com/book/show/246034875-a-stolen-life?from_search=true&from_srp=true&qid=n7ezM38USP&rank=2,True,"A Stolen Life Dugard, Jaycee"
All Your Perfects,"Hoover, Colleen",38926487,https://www.goodreads.com/book/show/38926487-all-your-perfects?from_search=true&from_srp=true&qid=YnhvOIanzS&rank=3,True,"All Your Perfects Hoover, Colleen"
American Psycho,"Ellis, Bret Easton",28676.0,https://www.goodreads.com/book/show/28676.American_Psycho?from_search=true&from_srp=true&qid=yMZfy8Fkya&rank=1,True,"American Psycho Ellis, Bret Easton"
Anatomy of a Boyfriend,"Snadowsky, Daria",37780.0,https://www.goodreads.com/book/show/37780.Anatomy_of_a_Boyfriend?from_search=true&from_srp=true&qid=9M5KALFI40&rank=1,True,"Anatomy of a Boyfriend Snadowsky, Daria"
