book_title,author
Kingdom of the Feared,"Maniscalco, Kerri"
Kingdom of the Wicked,"Maniscalco, Kerri"
The Degenerates,"Mann, Jennifer Ann / Mann, J. Albert"
Plenty of Hugs,"Manushkin, Fran"
Good Idea,"Maracho, Cristina"
Daughter of the Forest,"Marillier, Juliet"
Escape from Chernobyl,"Marino, Andy"
Nectar in a Sieve,"Markandaya, Kamala"
Slightly Single,"Markham, Wendy"
Fragile Eternity,"Marr, Melissa"
Ink Exchange,"Marr, Melissa"
Wicked Lovely,"Marr, Melissa"
A Volcano Beneath the Snow: John Brown's War Against Slavery,"Marrin, Albert"
Thomas Paine: Crusader for Liberty,"Marrin, Albert"
A Killing Frost,"Marsden, John"
Burning for Revenge,"Marsden, John"
"Darkness, Be My Friend","Marsden, John"
The Dead of Night,"Marsden, John"
The Night Is For Hunting,"Marsden, John"
The Other Side of Dawn,"Marsden, John"
"Tomorrow, When the War Began","Marsden, John"
Life of Pi,"Martel, Yann"
A Knight of the Seven Kingdoms,"Martin, George R. R."
The Mystery Knight,"Martin, George R. R."
The Official a Game of Thrones Coloring Book: An Adult Coloring Book,"Martin, George R. R."
Shopgirl,"Martin, Steve"
"Jackie ""The Joke Man"" Martling's Disgustingly Dirty Joke Book","Martling, Jackie"
"Fairy Tail, Vol. 1","Mashima, Hiro"
"Fairy Tail, Vol. 2","Mashima, Hiro"
"Fairy Tail, Vol. 5","Mashima, Hiro"
Without Annette,"Mason, Jane B."
Cendrillon (Opera),"Massenet, Jules"
Paper Dollhouse: A Memoir,"Masterson, Lisa M."
Kaffir Boy: An Autobiography - The True Story of a Black Youth's Coming of Age in Apartheid South Africa,"Mathabane, Mark"
Strange Intimacy,"Mather, Anne"
Learning to Breathe,"Mather, Janice Lynn"
The Twelve Tribes of Hattie,"Mathis, Ayana"
Since You've Been Gone,"Matson, Morgan"
The Unexpected Everything,"Matson, Morgan"
"Assassination Classroom (Series, Title Not Specified)","Matsui, Yūsei"
Tales of the City,"Maupin, Armistead"
The Secret Diary of Anne Boleyn,"Maxwell, Robin"
The Missing Girl,"Mazer, Norma Fox"
When She Was Good,"Mazer, Norma Fox"
From Ashes,"McAdams, Molly"
The Miscalculations of Lightning Girl,"McAnulty, Stacy"
The Good Lord Bird,"McBride, James"
"Hold Me Closer, Necromancer","McBride, Lish"
Perfect Fifths,"McCafferty, Megan"
Second Helpings,"McCafferty, Megan"
Dragonflight,"McCaffrey, Anne"
Dragonquest,"McCaffrey, Anne"
Dragonseye,"McCaffrey, Anne"
Freedom's Choice,"McCaffrey, Anne"
"Moreta, Dragonlady of Pern","McCaffrey, Anne"
The Renegades of Pern,"McCaffrey, Anne"
The White Dragon,"McCaffrey, Anne"
Just Fly Away,"McCarthy, Andrew"
All the Pretty Horses,"McCarthy, Cormac"
"Blood Meridian, or, The Evening Redness in the West","McCarthy, Cormac"
No Country for Old Men,"McCarthy, Cormac"
Outer Dark,"McCarthy, Cormac"
The Road,"McCarthy, Cormac"
How I Grew,"McCarthy, Mary"
The White Darkness,"McCaughrean, Geraldine"
Where the World Ends,"McCaughrean, Geraldine"
Ferris Beach,"McCorkle, Jill"
Everything You Need to Know About Nonbinary Gender Identities,"McCormick, Anita Louise"
Never Fall Down,"McCormick, Patricia"
Angela's Ashes: A Memoir,"McCourt, Frank"
"I, Claudia","McCoy, Mary"
The Revolution of Little Girls,"McCrary Boyd, Blanche"
The Member of the Wedding,"McCullers, Carson"
Breathless (AM),"McCullouch, Amy"
The Thorn Birds,"McCullough, Colleen"
I'm Glad My Mom Died,"McCurdy, Jennette"
The Beauty Queen of Leenane,"McDonagh, Martin"
"Boys, Bears, and a Serious Pair of Hiking Boots","McDonald, Abby"
Sophomore Switch,"McDonald, Abby"
Pepper's Rules for Secret Sleuthing,"McDonald, Briana"
"Gypsies, Wanderers of the World","McDowell, Bart"
Amsterdam,"McEwan, Ian"
Atonement,"McEwan, Ian"
On Chesil Beach,"McEwan, Ian"
Pushing the Limits,"McGarry, Katie"
American Royals,"McGee, Katharine"
Majesty,"McGee, Katharine"
Reign,"McGee, Katharine"
Rivals,"McGee, Katharine"
A Madness So Discreet,"McGinnis, Mindy"
In a Handful of Dust,"McGinnis, Mindy"
Not a Drop to Drink,"McGinnis, Mindy"
Bathe the Cat,"McGinty, Alice B."
Duquesa by Default,"McGiveny, Maura"
Just Breathe,"McGovern, Cammie"
Say What You Will,"McGovern, Cammie"
Perfect Victim: The True Story of the Girl in the Box,"McGuire, Christine"
Every Heart a Doorway,"McGuire, Seanan"
Lost Gospels and Hidden Codes: New Concepts of Scripture,"McIntosh, Kenneth"
Burning Midnight,"McIntosh, Will"
Step Up,"McKayhan, Monica"
Tender,"McKeon, Belinda"
Tumbling,"McKinney-Whetstone, Diane"
The Dark Thirty: Southern Tales of the Supernatural,"McKissack, Patricia"
The Memory of Running,"McLarty, Ron"
The Nanny Diaries,"McLaughlin, Emma"
What Unbreakable Looks Like,"McLaughlin, Kate"
Send Pics,"McLaughlin, Lauren"
Self-Made Boys: A Great Gatsby Remix,"McLemore, Anna-Marie"
Gone (LM),"McMann, Lisa"
Wake,"McMann, Lisa"
Two Can Keep a Secret,"McManus, Karen M."
How Stella Got Her Groove Back,"McMillan, Terry"
Waiting to Exhale,"McMillan, Terry"
Comanche Moon,"McMurty, Larry"
Lonesome Dove,"McMurty, Larry"
Streets of Laredo,"McMurty, Larry"
I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer,"McNamara, Michelle"
#MurderFunding,"McNeil, Gretchen"
One Last Stop,"McQuiston, Casey"
The Chalice and the Blade,"McReynolds, Glenna"
New Book of Herbs,"McVicar, Jekka"
Blood Promise,"Mead, Richelle"
Last Sacrifice,"Mead, Richelle"
Spirit Bound,"Mead, Richelle"
The Golden Lily,"Mead, Richelle"
Vampire Academy (A Graphic Novel),"Mead, Richelle"
Prince of Persia,"Mechner, Jordan"
Who is RuPaul?,"Medina, Nico"
Suck It Up,"Meehl, Brian"
Everything You Want Me to Be,"Mejia, Mindy"
We Set the Dark on Fire,"Mejia, Tehlor Kay"
Camp Quiltbag,"Melleby, Nicole"
How to Become a Planet,"Melleby, Nicole"
The Luckiest MILF in Brooklyn,"Melnick, Lynn"
I am Billie Jean King,"Meltzer, Brad"
My Moms Love Me,"Membrino, Anna"
"A B C Anthony Bennett Champion: The Whole Story About an Extraordinary Man of the Twenty-First Century and his many Friends, Escapades and Achievements","Mendler, Edward C."
Vanilla,"Merrell, Bill"
Talking in the Dark: A Poetry Memoir,"Merrell, Billy"
Just a Girl,"Mesrobian, Carrie"
Chirp,"Messner, Kate"
The Tragic Age,"Metcalfe, Stephen"
"Bloody Jack: Being an Account of the Curious Adventures of Mary ""Jacky"" Faber, Ship's Boy","Meyer, L. A."
"Curse of the Blue Tattoo: Being an Account of the Misadventures of Jacky Faber, Midshipman and Fine Lady","Meyer, L. A."
Under the Jolly Roger: Being an Account of the Further Nautical Adventures of Jacky Faber,"Meyer, L. A."
"The Wake of the Lorelei Lee: Being An Account of the Further Adventures of Jacky Faber, On Her Way to Botany Bay","Meyer, L.A."
Archenemies,"Meyer, Marissa"
Cinder,"Meyer, Marissa"
Cress,"Meyer, Marissa"
Cursed,"Meyer, Marissa"
Fairest: Levana's Story,"Meyer, Marissa"
Scarlet,"Meyer, Marissa"
Serendipity: Ten Romantic Tropes Transformed,"Meyer, Marissa"
Stars Above: A Lunar Chronicles Collection,"Meyer, Marissa"
Supernova,"Meyer, Marissa"
Winter,"Meyer, Marissa"
Breaking Dawn,"Meyer, Stephenie"
Eclipse,"Meyer, Stephenie"
Life and Death: Twilight Reimagined,"Meyer, Stephenie"
Midnight Sun,"Meyer, Stephenie"
New Moon,"Meyer, Stephenie"
The Host,"Meyer, Stephenie"
Twilight,"Meyer, Stephenie"
Sex on the Moon: The Amazing Story Behind the Most Audacious Heist in History,"Mezrich, Ben"
Dragons of Darkness,"Michaelis, Antonia"
Pretty Woman,"Michaels, Fern"
The Real Deal,"Michaels, Fern"
Gonorrhea,"Michaud, Christopher"
"Opposite Sex: Gay Men on Lesbians, Lesbians on Gay Men","Miles, Sara"
The Sea of Tranquility,"Millay, Katja"
Know My Name,"Miller, Chanel"
The Eternal Ones: What If Love Refused to Die?,"Miller, Kirsten"
Free to Fall,"Miller, Lauren"
Mask of Shadows,"Miller, Linsey"
Ruin of Stars,"Miller, Linsey"
Circe,"Miller, Madeline"
The Song of Achilles,"Miller, Madeline"
The Authority (1999-2002): Book Two,"Miller, Mark"
Robot Explorers,"Miller, Ron"
Blackfish City,"Miller, Sam J."
Paradise Lost,"Milton, John"
Paradise Lost and Paradise Regained,"Milton, John"
"You Do You: Figuring Out Your Body, Dating, and Sexuality","Mirk, Sarah"
Watch for Me By Moonlight,"Mitchard, Jacquelyn"
Cloud Atlas,"Mitchell, David"
All the Things we do in the Dark,"Mitchell, Saundra"
The Ten Things We Did (and Probably Shouldn't Have),"Mlynowski, Sarah"
Coping As a Survivor of Violent Crime,"Moe, Barbara A."
All My Friends Are Dead,"Monsen, Avery"
"Minecraft, Vol 1","Monster, Sfe R."
"Minecraft, Volume 2","Monster, Sfe R."
"Minecraft, Volume 3","Monster, Sfe R."
By Any Means Necessary,"Montgomery, Cam"
The Letter Q: Queer Writers' Notes to Their Younger Selves,"Moon, Sarah"
"Lamb: The Gospel According to Biff, Christ's Childhood Pal","Moore, Christopher"
The Stars Beneath Our Feet,"Moore, David Barclay"
Blind Sighted,"Moore, Peter G."
A Good Idea,"Moracho, Cristina"
Althea and Oliver,"Moracho, Cristina"
Mexican Gothic,"Moreno-Garcia, Silvia"
Facts and Fallacies,"Morgan, Chris"
"Camp Confidential (Series, Title Not Specified)","Morgan, Melissa J."
The Year of Secret Assignments,"Moriarty, Jaclyn"
The Center of Everything,"Moriarty, Laura"
Seikai 1: Crest of the Stars: Princess of the Empire,"Morioka, Hiroyuki"
Slay,"Morris, Brittney"
Songs in Ordinary Time,"Morris, Mary McGarry"
News from Nowhere and Other Writings,"Morris, William"
Paradise,"Morrison, Toni"
Song of Solomon,"Morrison, Toni"
Caravaggio: Painter on the Run,"Moss, Marissa"
Hoop City: Baltimore,"Moussavi, Sam"
Hoop City: Chicago,"Moussavi, Sam"
Hoop City: Detroit,"Moussavi, Sam"
Hoop City: Los Angeles,"Moussavi, Sam"
Hoop City: New York City,"Moussavi, Sam"
"Hoop City: Washington, D.C","Moussavi, Sam"
Texas Fridays: Austin,"Moussavi, Sam"
Texas Fridays: Dallas,"Moussavi, Sam"
Texas Fridays: El Paso,"Moussavi, Sam"
Texas Fridays: Houston,"Moussavi, Sam"
Texas Fridays: Odessa,"Moussavi, Sam"
Texas Fridays: San Antonio,"Moussavi, Sam"
Me Before You,"Moyes, Jojo"
The Fall,"Muchamore, Robert"
Ashen Winter,"Mullin, Mike"
Ashfall,"Mullin, Mike"
Sunrise,"Mullin, Mike"
Pigs,"Munsch, Robert"
1Q84,"Murakami, Haruki"
Kafka on the Shore,"Murakami, Haruki"
Men Without Women,"Murakami, Haruki"
The Wind-Up Bird Chronicle,"Murakami, Haruki"
Heart of Stone,"Murphy, C.E."
Puddin',"Murphy, Julie"
Pumpkin,"Murphy, Julie"
The True Story of Hansel and Gretel: A Novel of War and Survival,"Murphy, Louise"
Playing by the Rules,"Murphy, Monica"
Playing Hard to Get,"Murphy, Monica"
Bird,"Murphy, Rita"
"The Dozier School for Boys: Forensics, Survivors, and a Painful Past","Murray, Elizabeth A."
Africa: Cultural Atlas For Young People,"Murray, Jocelyn"
Cultural Atlas of Africa,"Murray, Jocelyn"
My Life as a Smashed Burrito With Extra Hot Sauce,"Myers, Bill"
145th Street: Short Stories,"Myers, Walter Dean"
Fallen Angels,"Myers, Walter Dean"
Slam!,"Myers, Walter Dean"
Street Love,"Myers, Walter Dean"
What They Found: Love on 145th Street,"Myers, Walter Dean"
Night Owl,"Mylnowski, Sarah"
"Peace, Love, and Baby Ducks","Myracle, Lauren"
This Boy,"Myracle, Lauren"
"Rainbow Family Collections: Selecting and Using Children's Books with Lesbian, Gay, Bisexual, Transgender, and Queer Content","Naidoo, Jamie Campbell"
"Hana-Kimi: For You in Full Blossom (Series, Title Not Specified)","Nakajo, Hisaya"
The Art of Hana-Kimi,"Nakajo, Hisaya"
"Kim Jiyoung, Born 1982","Nam-Joo, Cho"
Skin (DJN),"Napoli, Donna Jo"
Spinners,"Napoli, Donna Jo"
Storm,"Napoli, Donna Jo"
The Magic Circle,"Napoli, Donna Jo"
Zel,"Napoli, Donna Jo"
Being LGBTQ,"Nardo, Don"
"Science Encyclopedia: Atom Smashing, Food Chemistry, Animals, Space, and More!",National Geographic Kids
Human Body Systems,National Geographic Society
Linden Hills,"Naylor, Gloria"
The Men of Brewster Place,"Naylor, Gloria"
The Women of Brewster Place: A Novel in Seven Stories,"Naylor, Gloria"
Alice on the Outside,"Naylor, Phyllis Reynolds"
Alice the Brave,"Naylor, Phyllis Reynolds"
The Word for Yes,"Needell, Claire"
In Your Dreams,"Neenan, Colin"
Getting Somewhere,"Neff, Beth"
Recovery Road,"Nelson, Blake"
Online Pornography,"Nelson, David E."
On the Volcano,"Nelson, James"
The Sky is Everywhere,"Nelson, Jandy"
Earthshine,"Nelson, Theresa"
Suite Francaise,"Nemirovsky, Irene"
More Than This,"Ness, Patrick"
Release,"Ness, Patrick"
The Rest of Us Just Live Here,"Ness, Patrick"
Lisa Bright and Dark,"Neufeld, John"
The Fifth Sorceress,"Newcomb, Robert"
The Abduction (MN),"Newth, Mette"
The Dark Light,"Newth, Mette"
The Transformation,"Newth, Mette"
The Encyclopedia of Serial Killers,"Newton, Michael"
"The Encyclopedia of Unsolved Crimes, 2nd Edition","Newton, Michael"
I Will Call it Georgie's Blues,"Newton, Suzanne"
Everything I Never Told You,"Ng, Celeste"
Little Fires Everywhere,"Ng, Celeste"
Girls of Storm and Shadow,"Ngan, Natasha"
Stealing Buddha's Dinner: A Memoir,"Nguyen, Bich Minh"
The Sympathizer,"Nguyen, Viet Thanh"
War Inside Me,"Nicholas, Sydney"
The Tribes of Palos Verdes,"Nicholson, Joy"
Resistance,"Nielsen, Jennifer A."
The Captive Kingdom,"Nielsen, Jennifer A."
The Deceiver's Heart,"Nielsen, Jennifer A."
The Runaway King,"Nielsen, Jennifer A."
The Traitor's Game,"Nielsen, Jennifer A."
The Warrior's Curse,"Nielsen, Jennifer A."
Words on Fire,"Nielsen, Jennifer A."
We Are All Made of Molecules,"Nielsen, Susin"
Peppermint Coach Crushes,"Nielson, Laney"
Acceptance (EN),"Nietfeld, Emi"
The Time Traveler's Wife,"Niffenegger, Audrey"
This Is Where It Ends,"Nijkamp, Marieke"
Breathless (JN),"Niven, Jennifer"
Holding Up the Universe,"Niven, Jennifer"
Nigeria,"Nnoromele, Salome"
Alone,No Author Specified
Born a Crime: Stories from a South African Childhood,"Noah, Trevor"
Blue Moon (AN),"Noël, Alyson"
Dark Flame,"Noël, Alyson"
Everlasting,"Noël, Alyson"
Evermore,"Noël, Alyson"
Kiss and Blog,"Noël, Alyson"
Night Star,"Noël, Alyson"
Saving Zoë,"Noël, Alyson"
Shadowland,"Noël, Alyson"
The Prison Healer,"Noni, Lynette"
Layoverland,"Noone, Gabby"
Paul McCartney: The Life,"Norman, Philip"
Sweat,"Nottage, Lynn"
The Undertaking of Lily Chen,"Novgorodoff, Danica"
Uprooted,"Novik, Naomi"
If He Had Been With Me,"Nowlin, Laura"
Plague in the Mirror,"Noyes, Deborah"
The Rule of Mirrors,"O'Brien, Caragh M."
2021 Book of World Records,"O'Brien, Cynthia"
"Best and Buzzworthy 2017: World Records, Trending Topics, and Viral Moments","O'Brien, Cynthia"
The Country Girls: Three Novels and an Epilogue,"O'Brien, Erica"
A Good Man is Hard to Find And Other Stories,"O'Connor, Flannery"
The Complete Stories,"O'Connor, Flannery"
"Olympians (Series, not volume specific)","O'Connor, George"
Back Roads,"O'Dell, Tawni"
Long Day's Journey Into Night,"O'Neill, Eugene"
The Tea Dragon Society,"O'Neill, K."
Killing Jesus: A History,"O'Reilly, Bill"
Killing Lincoln: A Shocking Assassination that Changed America Forever,"O'Reilly, Bill"
Killing Reagan: The Violent Assault That Changed a Presidency,"O'Reilly, Bill"
The Sacred Lies of Minnow Bly,"Oakes, Stephanie"
Beasts,"Oates, Joyce Carol"
Foxfire: Confessions of a Girl Gang,"Oates, Joyce Carol"
The Assignation,"Oates, Joyce Carol"
The Falls,"Oates, Joyce Carol"
We Were the Mulvaneys,"Oates, Joyce Carol"
Will You Always Love Me? And Other Stories,"Oates, Joyce Carol"
Book of Broken Hearts,"Ockler, Sarah"
Twenty Boy Summer,"Ockler, Sarah"
Free Lunch,"Ogle, Rex"
Punching Bag,"Ogle, Rex"
Finding Junie Kim,"Oh, Ellen"
"Bakuman (Series, Title Not Specified)","Ohba, Tsugumi"
"Death Note (Series, Title Not Specified)","Ohba, Tsugumi"
"Death Note: Black Edition (Series, Title Not Specified)","Ohba, Tsugumi"
"Soul Eater, Vol. 10","Ohkubo, Atsushi"
"Soul Eater, Vol. 12","Ohkubo, Atsushi"
"Soul Eater, Vol. 13","Ohkubo, Atsushi"
"Soul Eater, Vol. 17","Ohkubo, Atsushi"
"Soul Eater, Vol. 21","Ohkubo, Atsushi"
"Soul Eater, Vol. 22","Ohkubo, Atsushi"
"Soul Eater, Vol. 23","Ohkubo, Atsushi"
"Soul Eater, Vol. 6","Ohkubo, Atsushi"
"Soul Eater, Vol. 7","Ohkubo, Atsushi"
"Soul Eater, Vol. 8","Ohkubo, Atsushi"
"Soul Eater, Vol. 9","Ohkubo, Atsushi"
"A Silent Voice (Series, Title Not Specified)","Ōima, Yoshitoki"
Male/Female Roles (AO),"Ojeda, Auriana"
Delirium,"Oliver, Lauren"
Pandemonium,"Oliver, Lauren"
Replica: Gemma Lyra,"Oliver, Lauren"
Requiem,"Oliver, Lauren"
Vanishing Girls,"Oliver, Lauren"
"If You Tell: A True Story of Murder, Family Secrets, and the Unbreakable Bond of Sisterhood","Olsen, Gregg"
Finn,"Olshan, Matthew"
Tupac Shakur,"Olson, Nathan"
The Third Twin,"Omololu, Cynthia Jaynes"
"One-Punch Man (Series, Title Not Specified)",ONE
Candidly Cline,"Ormsbee, Kathryn"
Orr: My Story,"Orr, Bobby"
Coping with Breakups and Jealousy,"Orr, Tamra B."
American Photography,"Orvell, Miles"
Animal Farm: A Fairy Story,"Orwell, George"
"Hello Melancholic (Series, Title Not Specified)","Osawa, Yayoia"
Loveless,"Oseman, Alice"
Solitaire,"Oseman, Alice"
The Insiders,"Oshiro, Mark"
The Hidden Witch,"Ostertag, Molly Knox"
The Midwinter Witch,"Ostertag, Molly Knox"
The Beloved Wild,"Ostrom, Melissa"
Unleaving,"Ostrom, Melissa"
Draw the Line (KO),"Otoshi, Kathryn"
"Ars Amatoria; Or, The Art of Love",Ovid
Metamorphoses,Ovid
Raintree Steck-Vaughn Illustrated Science Encyclopedia,"Oxford, Andromeda"
Kings Rising,"Pacat, C. S."
The Dive From Clausen's Pier,"Packer, Ann"
HIV infection: The Facts You Need to Know,"Packer, Kenneth L."
Stealing Snow,"Paige, D. M."
Dorothy Must Die,"Paige, Daniella"
Better than the Movies,"Painter, Lynn"
"Sojourner Truth: A life, A Symbol","Painter, Nell Irvin"
Wonder,"Palacio, R.J."
Adjustment Day,"Palahniuk, Chuck"
Damned,"Palahniuk, Chuck"
Doomed,"Palahniuk, Chuck"
Invisible Monsters Remix,"Palahniuk, Chuck"
Lullaby,"Palahniuk, Chuck"
Snuff,"Palahniuk, Chuck"
Behind Closed Doors,"Paris, B. A."
A Long Walk to Water: Based on a True Story,"Park, Linda Sue"
Project Mulberry,"Park, Linda Sue"
Who Put This Song On?,"Parker, Morgan"
Valediction,"Parker, Robert B."
Super Human Encyclopedia: Discover the Amazing Things Your Body Can Do,"Parker, Steve"
The Dogs of Babel,"Parkhurst, Carolyn"
Diary of a Misfit: A Memoir and a Mystery,"Parks, Casey"
The Learning Tree,"Parks, Gordon"
Adventures with Waffles,"Parr, Maria"
Coping with Date Rape and Acquaintance Rape,"Parrot, Andrea"
Kill Game,"Pascal, Francine"
What was the Wild West,"Pascal, Janet B."
Who Was Dr. Seuss?,"Pascal, Janet B."
Who Was Maurice Sendak?,"Pascal, Janet B."
Fence,"Pascat, C.S."
Fence: Rivals,"Pascat, C.S."
Doctor Zhivago,"Pasternak, Boris Leonidovich"
Bel Canto,"Patchett, Ann"
State of Wonder,"Patchett, Ann"
The Patron Saint of Liars,"Patchett, Ann"
Rani Patel in Full Effect,"Patel, Sonia"
Jacob Have I Loved,"Paterson, Katherine"
The Land and People of South Africa,"Paton, Jonathan"
10th Anniversary,"Patterson, James"
1st to Die,"Patterson, James"
2nd Chance,"Patterson, James"
3rd Degree,"Patterson, James"
4th of July,"Patterson, James"
"Alex Cross (Series, Title not Specified)","Patterson, James"
"All-American Murder: The Rise and Fall of Aaron Hernandez, the Superstar Whose Life Ended on Murderers' Row","Patterson, James"
Along Came A Spider,"Patterson, James"
Confessions of a Murder Suspect,"Patterson, James"
Crazy House,"Patterson, James"
Cross,"Patterson, James"
Cross Country,"Patterson, James"
Demons and Druids,"Patterson, James"
Honeymoon,"Patterson, James"
Judge and Jury,"Patterson, James"
Lifeguard,"Patterson, James"
London Bridges,"Patterson, James"
"Maximum Ride: The Manga, Vol 3","Patterson, James"
NYPD Red,"Patterson, James"
"Private: New York, Los Angeles, London, Paris","Patterson, James"
Sail,"Patterson, James"
Sam's Letters to Jennifer,"Patterson, James"
Suzanne's Diary for Nicholas,"Patterson, James"
The 5th Horseman,"Patterson, James"
The 9th Judgment,"Patterson, James"
The Beach House,"Patterson, James"
The Big Bad Wolf,"Patterson, James"
The Dangerous Days of Daniel X,"Patterson, James"
The Jester,"Patterson, James"
The Lake House,"Patterson, James"
The Murder of King Tut: The Plot to Kill the Child King - A Nonfiction Thriller,"Patterson, James"
Tick Tock,"Patterson, James"
Toys,"Patterson, James"
Violets Are Blue (JP),"Patterson, James"
Watch the Skies,"Patterson, James"
When the Wind Blows,"Patterson, James"
Zoo,"Patterson, James"
Hatchet,"Paulsen, Gary"
Lawn Boy (GP),"Paulsen, Gary"
Sideways: The Shooting Script,"Payne, Alexander"
Enough,"Payne, Mary Jennifer"
Explorers and Discoverers: from Alexander the Great to Sally Ride,"Pear, Nancy"
Ancient Greece,"Pearson, Anne"
Dance of Thieves,"Pearson, Mary E."
Vow of Thieves,"Pearson, Mary E."
A Year Down Yonder,"Peck, Richard"
Fair Weather,"Peck, Richard"
Exposure,"Peet, Mal"
Big Nate All Work and No Play: A Collection of Sundays,"Peirce, Lincoln"
Big Nate and Friends,"Peirce, Lincoln"
Big Nate Blasts Off,"Peirce, Lincoln"
Big Nate Flips Out,"Peirce, Lincoln"
Big Nate From the Top,"Peirce, Lincoln"
Big Nate Game On!,"Peirce, Lincoln"
Big Nate Goes for Broke,"Peirce, Lincoln"
Big Nate Hug it Out!,"Peirce, Lincoln"
Big Nate in the Zone,"Peirce, Lincoln"
Big Nate Lives it Up,"Peirce, Lincoln"
Big Nate Makes the Grade,"Peirce, Lincoln"
Big Nate on a Roll,"Peirce, Lincoln"
Big Nate Strikes Again,"Peirce, Lincoln"
Big Nate: A Good Old-Fashioned Wedgie,"Peirce, Lincoln"
Big Nate: Genius Mode,"Peirce, Lincoln"
Big Nate: Great Minds Think Alike,"Peirce, Lincoln"
Big Nate: I Can’t Take It,"Peirce, Lincoln"
Big Nate: In a Class by Himself,"Peirce, Lincoln"
Big Nate: Mr. Popularity,"Peirce, Lincoln"
Big Nate: Revenge of the Cream Puffs,"Peirce, Lincoln"
Big Nate: Say Good-bye to Dork City,"Peirce, Lincoln"
Big Nate: The Crowd Goes Wild,"Peirce, Lincoln"
Big Nate: What Could Possibly Go Wrong,"Peirce, Lincoln"
Big Nate's Greatest Hits,"Peirce, Lincoln"
The Lost Boy: A Foster Child's Search for the Love of a Family,"Pelzer, Dave"
The Privilege of Youth: A Teenager's Story,"Pelzer, Dave"
The Moviegoer,"Percy, Walker"
What Can't Wait,"Pérez, Ashley Hope"
Anna and the French Kiss,"Perkins, Stephanie"
Isla and the Happily Ever After,"Perkins, Stephanie"
There's Someone Inside Your House,"Perkins, Stephanie"
The Leftovers,"Perrotta, Tom"
Malcolm: The Life of a Man Who Changed Black America,"Perry, Bruce"
Special Topics in Calamity Physics,"Pessl, Marisha"
Our Subway Baby,Peter Mercurio
Luna (JP),"Peters, Julie Anne"
Critical Perspectives on Gender Identity,"Petrikowski, Nicki Peter"
The Street,"Petry, Ann"
Out Stealing Horses,"Petterson, Per"
Life As We Knew It,"Pfeffer, Susan Beth"
The Dead and the Gone,"Pfeffer, Susan Beth"
The Shade of the Moon,"Pfeffer, Susan Beth"
This World We Live In,"Pfeffer, Susan Beth"
The Rainbow Fish,"Pfister, Marcus"
My Footprints,"Phi, Bao"
Freak the Mighty,"Philbrick, Rodman"
Mythology (Eyewitness),"Philip, Neil"
Mythology of the World,"Philip, Neil"
The Great Circle: A History of the First Nations,"Philip, Neil"
Prague,"Phillips, Arthur"
Fishtailing,"Phillips, Wendy"
The Templar Revelation: Secret Guardians of the True Identity of Christ,"Picknett, Lynn"
A Spark of Light,"Picoult, Jodi"
Between the Lines,"Picoult, Jodi"
Harvesting the Heart,"Picoult, Jodi"
Picture Perfect (JP),"Picoult, Jodi"
Dark Age,Pierce Brown
Golden Son,Pierce Brown
Iron Gold,Pierce Brown
Morning Star,Pierce Brown
Mastiff,"Pierce, Tamora"
Bloodhound,"Pierce, Tamora."
A Year and a Day,"Pietrzyk, Leslie"
Life After Theft,"Pike, Aprilynne"
Chain Letter,"Pike, Christopher"
"Thirst No. 1: Human Urges, Fatal Consequences","Pike, Christopher"
"Thirst No. 2: Deepest Desire, Instant Remorse","Pike, Christopher"
Thirst No. 4: The Shadow of Death,"Pike, Christopher"
Thirst No. 5: The Sacred Veil,"Pike, Christopher"
Captain Underpants and the Sensational Saga of Sir Stink-a-Lot,"Pilkey, Dav"
Dog Man and Cat Kid,"Pilkey, Dav"
13 Minutes,"Pinborough, Sarah"
Into White,"Pink, Randi"
Bridges: The Spans of North America,"Plowden, David"
Yes Please,"Poehler, Amy"
The First 7,"Pohl, Laura"
The Last 8,"Pohl, Laura"
"Gay and Lesbian History for Kids: The Century-Long Struggle LGBT Rights, with 21 Activities","Pohlen, Jerome"
Robert Louis Stevenson,"Pomplun, Tom"
Tinisima,"Poniatowska, Elena"
Blue Moon (JP),"Ponti, James"
Dark Days,"Ponti, James"
Dead City,"Ponti, James"
There Will Come a Darkness,"Pool, Katy Rose"
Dealing With Dating and Romance,"Poole, H. W."
King Dork,"Portman, Frank"
Dinner with Dimaggio: Memories of an American Hero,"Positano, Rock G."
Behind the Shadows,"Potter, Patricia"
The Good Girls Revolt: How the Women of Newsweek Sued their Bosses and Changed the Workplace,"Povich, Lynn"
The Whistling Toilets,"Powell, Randy"
Elvis Presley's Love Me Tender,"Presley, Elvis"
The Cabin,"Preston, Natasha"
The Cellar,"Preston, Natasha"
Hallway Diaries,"Pride, Felicia"
"Caves, Graves, and Catacombs: Secrets from Beneath the Earth","Prior, Natalie Jane"
Close Range: Wyoming Stories,"Proulx, Annie"
"Swann's Way: In Search of Lost Time, Vol. 1","Proust, Marcel"
The Past Recaptured,"Proust, Marcel"
"I Have the Right To: A High School Survivor's Story of Sexual Assault, Justice and Hope","Prout, Chessy"
"Portrait of a Monster: Joran van der Sloot, A Murder in Peru, and the Natalee Holloway Mystery","Pulitzer, Lisa Beth"
His Dark Materials,"Pullman, Philip"
The Amber Spyglass,"Pullman, Philip"
The Book of Dust: La Belle Sauvage,"Pullman, Philip"
The Shadow in the North,"Pullman, Philip"
