book_title,ban_date,avg_search_before,avg_search_after,max_search_before,max_search_after,min_search_before,min_search_after,percent_change,absolute_change,volatility,data_collected,collection_successful,state,error
Ghost Boys,2021-08-01,19.84,18.97,100.0,100.0,0.0,0.0,-4.42,-0.88,28.88,2026-02-05 22:01:58,True,Pennsylvania,
As Fast as Words Could Fly,2021-08-01,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-05 22:02:04,True,Pennsylvania,
Michelle,2021-08-01,56.41,55.11,100.0,100.0,47.0,47.0,-2.3,-1.3,7.81,2026-02-05 22:02:25,True,Pennsylvania,
Planet Omar: Unexpected Super Spy (Planet Omar Series),2021-08-01,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-05 22:02:35,True,Pennsylvania,
Saturday,2021-08-01,24.2,36.7,100.0,100.0,11.0,16.0,51.65,12.5,20.74,2026-02-05 22:02:51,True,Pennsylvania,
Culturally Sustaining Pedagogies: Teaching and Learning for Justice in a Changing World,2021-08-01,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-05 22:02:56,True,Pennsylvania,
Rainbow Revolutionaries: Fifty LGBTQ+ People Who Made History,2021-08-01,2.97,3.72,100.0,100.0,0.0,0.0,25.47,0.76,16.73,2026-02-05 22:03:09,True,Pennsylvania,
Another,2021-08-01,79.97,81.27,100.0,100.0,64.0,63.0,1.63,1.3,9.52,2026-02-05 22:03:19,True,Pennsylvania,
"Ghosts Don't Ride Bikes, Do They? (Desmond Cole Ghost Patrol Series)",2021-08-01,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-05 22:03:24,True,Pennsylvania,
The Sleepwalking Snowman (Desmond Cole Ghost Patrol Series),2021-08-01,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-05 22:03:40,True,Pennsylvania,
Peanut Goes for the Gold,2021-08-01,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-05 22:03:55,True,Pennsylvania,
A is for Activist,2021-08-01,6.28,3.01,100.0,100.0,0.0,0.0,-52.04,-3.27,19.29,2026-02-05 22:04:05,True,Pennsylvania,
"Jasmine Toguchi, Mochi Queen (Jasmine Toguchi Series)",2021-08-01,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-05 22:04:11,True,Pennsylvania,
Max and the Tag-Along Moon,2021-08-01,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-05 22:04:21,True,Pennsylvania,
Ramadan Around The World,2021-08-01,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-05 22:04:36,True,Pennsylvania,
Ghouls Just Want to Have Fun (Desmond Cole Ghost Patrol Series),2021-08-01,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-05 22:04:46,True,Pennsylvania,
"Trivia Queen, 3rd Grade Supreme (Ruby and the Booker Boys Series)",2021-08-01,2.16,2.2,100.0,100.0,0.0,0.0,2.06,0.04,14.45,2026-02-05 22:05:06,True,Pennsylvania,
Trombone Shorty,2021-08-01,7.33,11.23,100.0,100.0,0.0,0.0,53.18,3.9,20.77,2026-02-05 22:05:24,True,Pennsylvania,
Chasing Space Young Readers' Edition,2021-08-01,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-05 22:05:30,True,Pennsylvania,
African American Cowboys: True Heroes Of The Old West,2021-08-01,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-05 22:05:45,True,Pennsylvania,
The Story of Rap,2021-08-01,2.12,0.0,100.0,0.0,0.0,0.0,-100.0,-2.12,14.09,2026-02-05 22:06:05,True,Pennsylvania,
Yasmin the Librarian (Yasmin Series),2021-08-01,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-05 22:06:11,True,Pennsylvania,
The Name Jar,2021-08-01,2.16,4.24,100.0,100.0,0.0,0.0,96.91,2.09,16.23,2026-02-05 22:06:22,True,Pennsylvania,
